column1,column2,record_id,client_id,purchase_ref,purchase_date,dispatch_date,delivery_mode,item_code,item_title,main_group,sub_group,revenue,total_amount,earnings,units_sold,rebate,postal_code,nation,town,province,zone,client_type,column3,column4,column5,product_subcategory,profit
31,4,1.0,1.0,CA-2018-152156,11/8/2018 0:00,11/11/2018 0:00,Priority Shipping,FUR-BO-10001798,Bush Somerset Collection Bookcase,Workspace Fixtures,Bookcases,261.96,303.8736,41.9136,2,0.0,42420.0,United States,Henderson,Kentucky,South,Individual Buyer,,,,,
32,5,2.0,1.0,CA-2018-152156,11/8/2018 0:00,11/11/2018 0:00,Priority Shipping,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Workspace Fixtures,Chairs,731.94,951.522,219.582,3,0.0,42420.0,United States,Henderson,Kentucky,South,Individual Buyer,,,,,
33,6,3.0,2.0,CA-2018-138688,6/12/2018 0:00,6/16/2018 0:00,Priority Shipping,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Work Essentials,Labels,14.62,21.4914,6.8714,2,0.0,90036.0,United States,Los Angeles,California,West,Business Account,,,,,
34,7,4.0,3.0,US-2017-108966,10/11/2017 0:00,10/18/2017 0:00,Regular Delivery,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Workspace Fixtures,Tables,957.5775,574.5465,-383.031,5,0.45,33311.0,United States,Fort Lauderdale,Florida,South,Individual Buyer,,,,,
35,8,5.0,3.0,US-2017-108966,10/11/2017 0:00,10/18/2017 0:00,Regular Delivery,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Work Essentials,Storage,22.368,24.8844,2.5164,2,0.2,33311.0,United States,Fort Lauderdale,Florida,South,Individual Buyer,,,,,
36,9,6.0,4.0,CA-2016-115812,6/9/2016 0:00,6/14/2016 0:00,Regular Delivery,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Workspace Fixtures,Furnishings,48.86,63.0294,14.1694,7,0.0,90032.0,United States,Los Angeles,California,West,Individual Buyer,,,,,
37,10,7.0,4.0,CA-2016-115812,6/9/2016 0:00,6/14/2016 0:00,Regular Delivery,OFF-AR-10002833,Newell 322,Work Essentials,Art,7.28,9.2456,1.9656,4,0.0,90032.0,United States,Los Angeles,California,West,Individual Buyer,,,,,
38,11,8.0,4.0,CA-2016-115812,6/9/2016 0:00,6/14/2016 0:00,Regular Delivery,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Digital Equipment,Phones,907.152,997.8672,90.7152,6,0.2,90032.0,United States,Los Angeles,California,West,Individual Buyer,,,,,
39,12,9.0,4.0,CA-2016-115812,6/9/2016 0:00,6/14/2016 0:00,Regular Delivery,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Work Essentials,Binders,18.504,24.2865,5.7825,3,0.2,90032.0,United States,Los Angeles,California,West,Individual Buyer,,,,,
40,13,10.0,4.0,CA-2016-115812,6/9/2016 0:00,6/14/2016 0:00,Regular Delivery,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Work Essentials,Appliances,114.9,149.37,34.47,5,0.0,90032.0,United States,Los Angeles,California,West,Individual Buyer,,,,,
41,14,11.0,4.0,CA-2016-115812,6/9/2016 0:00,6/14/2016 0:00,Regular Delivery,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Workspace Fixtures,Tables,1706.184,1791.4932,85.3092,9,0.2,90032.0,United States,Los Angeles,California,West,Individual Buyer,,,,,
42,15,12.0,4.0,CA-2016-115812,6/9/2016 0:00,6/14/2016 0:00,Regular Delivery,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,Digital Equipment,Phones,911.424,979.7808,68.3568,4,0.2,90032.0,United States,Los Angeles,California,West,Individual Buyer,,,,,
43,16,13.0,5.0,CA-2019-114412,4/15/2019 0:00,4/20/2019 0:00,Regular Delivery,OFF-PA-10002365,Xerox 1967,Work Essentials,Paper,15.552,20.9952,5.4432,3,0.2,28027.0,United States,Concord,North Carolina,South,Individual Buyer,,,,,
44,17,14.0,6.0,CA-2018-161389,12/5/2018 0:00,12/10/2018 0:00,Regular Delivery,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Work Essentials,Binders,407.976,540.5682,132.5922,3,0.2,98103.0,United States,Seattle,Washington,West,Individual Buyer,,,,,
45,18,15.0,7.0,US-2017-118983,11/22/2017 0:00,11/26/2017 0:00,Regular Delivery,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Work Essentials,Appliances,68.81,-55.048,-123.858,5,0.8,76106.0,United States,Fort Worth,Texas,Central,Remote Workspace,,,,,
46,19,16.0,7.0,US-2017-118983,11/22/2017 0:00,11/26/2017 0:00,Regular Delivery,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Work Essentials,Binders,2.544,-1.272,-3.816,3,0.8,76106.0,United States,Fort Worth,Texas,Central,Remote Workspace,,,,,
47,20,17.0,8.0,CA-2016-105893,11/11/2016 0:00,11/18/2016 0:00,Regular Delivery,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Work Essentials,Storage,665.88,679.1976,13.3176,6,0.0,53711.0,United States,Madison,Wisconsin,Central,Individual Buyer,,,,,
48,21,18.0,9.0,CA-2016-167164,5/13/2016 0:00,5/15/2016 0:00,Priority Shipping,OFF-ST-10000107,Fellowes Super Stor/Drawer,Work Essentials,Storage,55.5,65.49,9.99,2,0.0,84084.0,United States,West Jordan,Utah,West,Individual Buyer,,,,,
49,22,19.0,10.0,CA-2016-143336,8/27/2016 0:00,9/1/2016 0:00,Priority Shipping,OFF-AR-10003056,Newell 341,Work Essentials,Art,8.56,11.0424,2.4824,2,0.0,94109.0,United States,San Francisco,California,West,Individual Buyer,,,,,
50,23,20.0,10.0,CA-2016-143336,8/27/2016 0:00,9/1/2016 0:00,Priority Shipping,TEC-PH-10001949,Cisco SPA 501G IP Phone,Digital Equipment,Phones,213.48,229.491,16.011,3,0.2,94109.0,United States,San Francisco,California,West,Individual Buyer,,,,,
